institution_name,account_id,product_family,holding_name,holding_key,unit_price,quantity,gross_amount,quantity_reported,gross_amount_reported,currency,valued_at,data_quality_flags
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2025-12-23|2028-12-01,999.88,79.565,79555.45,79.565,79555.45,BRL,2026-08-21 09:08:04,[movements:incomplete]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2024-04-17|2027-04-01,1002.51,75.863,76053.42,75.863,76053.42,BRL,2026-08-21 09:08:04,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,credit_fixed_incomes,OMEGA ENERGIA S.A.,BRDEBSEC01A1|09149503000106|2029-06-15,1009.9,71.641165,72350.41,76.452,77208.87,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2021-10-01|2024-10-01,994.26,72.229,71814.41,72.229,71814.41,BRL,2026-08-21 10:18:47,"[holding:matured, purchase_date:missing]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2021-01-25|2024-01-01,992.25,70.287793,69743.06,168.041,166738.68,BRL,2026-08-21 09:08:04,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2020-03-29|2023-03-01,1000.72,65.186,65232.93,65.186,65232.93,BRL,2026-08-21 10:18:47,"[holding:matured, movements:incomplete]"
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2021-04-29|2024-04-01,994.3,65.223,64851.23,65.223,64851.23,BRL,2026-08-21 10:22:43,"[holding:matured, movements:incomplete]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2024-01-24|2027-01-01,1005.92,63.615,63991.6,63.615,63991.6,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2025-01-19|2028-01-01,1004.78,61.954969,62251.11,142.178,142857.61,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2020-07-16|2023-07-01,1001.65,61.772,61873.92,61.772,61873.92,BRL,2026-08-21 10:18:47,"[holding:matured, financial_transaction_tax:placeholder]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2023-12-22|2026-12-01,1008.61,60.860776,61384.79,87.078,87827.74,BRL,2026-08-21 09:08:04,[quantity_reported:stale]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2020-03-31|2023-03-01,1007.21,60.613712,61050.74,216.768,218330.9,BRL,2026-08-21 09:08:04,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2022-03-09|2025-03-01,1009.69,60.047831,60629.69,155.334,156839.19,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2024-06-26|2027-06-01,1000.41,58.987,59011.18,58.987,59011.18,BRL,2026-08-21 09:08:04,[movements:incomplete]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2020-05-23|2023-05-01,997.1,58.738416,58568.07,66.201,66009.02,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2020-08-04|2023-08-01,1002.71,57.243607,57398.74,61.635,61802.03,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2020-03-02|2023-03-01,1005.78,56.432,56758.18,56.432,56758.18,BRL,2026-08-21 09:08:04,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2020-02-13|2023-02-01,998.99,55.497,55440.95,55.497,55440.95,BRL,2026-08-21 10:18:47,[holding:matured]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2020-11-15|2023-11-01,1000.57,53.116964,53147.24,163.257,163350.06,BRL,2026-08-21 09:08:04,"[holding:matured, quantity_reported:stale]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,credit_fixed_incomes,OMEGA ENERGIA S.A.,BRDEBSEC01A1|09149503000106|2031-06-15,996.65,52.962519,52785.09,235.637,234848.09,BRL,2026-08-21 09:08:04,[quantity_reported:stale]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2022-05-31|2025-05-01,1001.86,51.169,51264.17,51.169,51264.17,BRL,2026-08-21 09:08:04,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|92894922000108|2020-12-24|2023-12-01,1007.55,50.874,51258.1,50.874,51258.1,BRL,2026-08-21 10:18:47,"[holding:matured, purchase_date:missing]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2020-11-04|2023-11-01,999.55,50.355654,50332.99,54.553,54528.45,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,credit_fixed_incomes,MRS LOGISTICA S/A,BRCRISEC06A6|01417222000177|2027-06-15,1001.34,48.382401,48447.23,32.723,32766.98,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2023-07-04|2026-07-01,995.59,47.823,47612.1,47.823,47612.1,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2025-03-01|2028-03-01,990.12,47.546,47076.25,47.546,47076.25,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,NULL,22ac5024-2e82-5174-b51e-6ebb963f5501,25.9,1815.0,47008.5,1533.0,39710.83,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, isin_code:missing, ticker:missing, natural_key:missing]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,funds,IPCA LONGA DURACAO FIC FIRF,29562673000117,14.6,3215.899964,46952.14,2238.344828,32674.1,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2022-02-16|2025-02-01,1007.0,45.073618,45389.13,124.072,124940.5,BRL,2026-08-21 09:08:04,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2022-08-12|2025-08-01,1007.13,41.904,42202.78,41.904,42202.78,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2023-06-09|2026-06-01,999.72,41.608,41596.35,41.608,41596.35,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2024-08-29|2027-08-01,993.09,41.055068,40771.38,39.149,38878.48,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2025-06-30|2028-06-01,1005.33,40.320038,40534.94,41.661,41883.05,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,credit_fixed_incomes,OMEGA ENERGIA S.A.,f8196b35-86d8-5b30-a402-de46703a9be1,998.93,39.086,39044.18,39.086,39044.26,BRL,2026-08-21 10:18:47,"[isin_code:missing, natural_key:missing]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2021-03-21|2024-03-01,992.87,37.697833,37429.05,40.129,0.0,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, gross:not_quantity_times_price, net:above_gross]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2025-05-30|2028-05-01,994.64,36.766529,36569.46,52.787,52504.06,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, purchase_date:missing]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,treasure_titles,Tesouro Prefixado 2029,Tesouro Prefixado 2029,753.79,45.12,34011.0,31.13,23465.52,BRL,2026-08-21 09:08:04,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2025-02-28|2028-02-01,994.73,33.270618,33095.28,71.005,70630.8,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,credit_fixed_incomes,VAMOS LOCACAO S.A.,BRDEBSEC03A3|07689002000189|2027-06-15,998.48,31.979,31930.39,31.979,31930.26,BRL,2026-08-21 09:08:04,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2022-01-01|2025-01-01,997.85,31.214345,31147.23,34.896,34820.97,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2022-03-23|2025-03-01,990.4,29.498581,29215.39,9900.0,98516.08,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale, gross:not_quantity_times_price]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2024-12-12|2027-12-01,997.07,27.974864,27892.9,22.572,22505.86,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2023-07-08|2026-07-01,1001.87,27.123,27173.72,27.123,27173.72,BRL,2026-08-21 10:18:47,"[holding:matured, movements:incomplete]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2020-11-02|2023-11-01,998.08,26.928541,26876.84,112.566,0.0,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, gross:not_quantity_times_price, net:above_gross]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2020-12-16|2023-12-01,995.57,25.817979,25703.61,48.417,48202.51,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2020-01-05|2023-01-01,995.57,25.618,25504.51,25.618,25504.51,BRL,2026-08-21 09:08:04,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2026-01-30|2029-01-01,1003.21,24.386,24464.28,24.386,24464.28,BRL,2026-08-21 10:18:47,[purchase_date:missing]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,treasure_titles,Tesouro IPCA+ com Juros Semestrais 2032,Tesouro IPCA+ com Juros Semestrais 2032,1518.54,15.8,23992.93,11.78,17888.4,BRL,2026-08-21 09:08:04,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2024-10-08|2027-10-01,1000.34,21.811726,21819.14,49.322,49338.77,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2025-03-25|2028-03-01,990.47,20.916,20716.67,20.916,20716.67,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2020-12-17|2023-12-01,1007.92,16.678352,16810.44,73.159,73738.42,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2021-05-06|2024-05-01,994.91,15.554323,15475.15,17.373,17284.57,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,variable_incomes,ITUB4,ITUB4,24.2,617.0,14931.4,651.0,15750.94,BRL,2026-08-21 09:08:04,[quantity_reported:stale]
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2023-05-30|2026-05-01,996.96,13.983508,13941.0,43.732,43599.05,BRL,2026-08-21 10:22:43,"[holding:matured, quantity_reported:stale]"
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2021-07-10|2024-07-01,991.32,12.259,12152.59,12.259,12152.59,BRL,2026-08-21 10:22:43,[holding:matured]
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,funds,SELECAO DIVIDENDOS FIC FIA,07059417000107,51.0,225.340269,11492.35,280.871287,14324.42,BRL,2026-08-21 10:22:43,[quantity_reported:stale]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2022-10-21|2025-10-01,991.09,11.429093,11327.26,25.409,25182.61,BRL,2026-08-21 09:08:04,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2025-10-21|2028-10-01,1007.63,8.676775,8742.98,25.528,25722.78,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,variable_incomes,B3SA3,B3SA3,53.92,157.0,8465.44,157.0,8465.75,BRL,2026-08-21 09:08:04,[]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2019-10-24|2022-10-01,994.15,8.445684,8396.28,31.413,31229.23,BRL,2026-08-21 09:08:04,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2023-06-12|2026-06-01,998.34,7.906342,7893.22,54.856,54764.94,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,variable_incomes,WEGE3,WEGE3,41.42,158.0,6544.36,158.0,6544.99,BRL,2026-08-21 09:08:04,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2022-02-06|2025-02-01,1003.97,6.052,6076.03,6.052,6076.03,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2025-11-14|2028-11-01,1003.48,0.353939,355.17,7.717,7743.86,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2023-09-29|2026-09-01,1004.86,0.0,0.0,148.1,148819.77,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, financial_transaction_tax:placeholder]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2023-04-15|2026-04-01,1000.64,0.0,0.0,128.985,129067.55,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2024-01-27|2027-01-01,996.46,0.0,0.0,117.818,117400.92,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, purchase_date:missing]"
